
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-04-04 16:16:09 /js/pwa.js .......................................................................... ~ 18.54ms
  2026-04-04 16:16:09 /manifest.json ...................................................................... ~ 45.55ms
  2026-04-04 16:16:30 /internal/reports .................................................................. ~ 505.29ms
  2026-04-04 16:16:31 /css/app.css ......................................................................... ~ 0.35ms
  2026-04-04 16:16:31 /images/logo-sidebar.png ............................................................. ~ 0.34ms
  2026-04-04 16:16:31 /js/pwa.js .......................................................................... ~ 19.55ms
  2026-04-04 16:16:31 /manifest.json ...................................................................... ~ 47.04ms
  2026-04-04 16:17:13 /internal/tickets .................................................................. ~ 503.26ms
  2026-04-04 16:17:13 /css/app.css ....................................................................... ~ 526.32ms
  2026-04-04 16:17:13 /images/logo-sidebar.png ............................................................ ~ 27.17ms
  2026-04-04 16:17:13 /js/pwa.js .......................................................................... ~ 20.74ms
  2026-04-04 16:17:13 /manifest.json ...................................................................... ~ 49.34ms
  2026-04-04 16:17:21 /internal/reports .................................................................. ~ 513.08ms
  2026-04-04 16:17:21 /css/app.css ....................................................................... ~ 535.63ms
  2026-04-04 16:17:21 /images/logo-sidebar.png ............................................................. ~ 0.30ms
  2026-04-04 16:17:21 /js/pwa.js .......................................................................... ~ 20.90ms
  2026-04-04 16:17:21 /manifest.json ...................................................................... ~ 49.81ms
  2026-04-04 16:17:28 /internal/kyc ............................................................................ ~ 1s
  2026-04-04 16:17:28 /css/app.css ............................................................................. ~ 1s
  2026-04-04 16:17:29 /images/logo-sidebar.png ............................................................. ~ 0.25ms
  2026-04-04 16:17:29 /js/pwa.js .......................................................................... ~ 20.76ms
  2026-04-04 16:17:29 /manifest.json ...................................................................... ~ 52.98ms
  2026-04-04 16:17:31 /internal/compliance ..................................................................... ~ 1s
  2026-04-04 16:17:31 /css/app.css ............................................................................. ~ 1s
  2026-04-04 16:17:32 /images/logo-sidebar.png ............................................................. ~ 0.35ms
  2026-04-04 16:17:32 /js/pwa.js .......................................................................... ~ 19.62ms
  2026-04-04 16:17:32 /manifest.json ...................................................................... ~ 47.25ms
  2026-04-04 16:17:34 /internal/compliance ..................................................................... ~ 1s
  2026-04-04 16:17:35 /css/app.css ......................................................................... ~ 0.37ms
  2026-04-04 16:17:35 /images/logo-sidebar.png ............................................................ ~ 27.31ms
  2026-04-04 16:17:35 /js/pwa.js .......................................................................... ~ 45.92ms
  2026-04-04 16:17:35 /manifest.json ...................................................................... ~ 74.17ms
  2026-04-04 16:17:38 /internal/staff .................................................................... ~ 504.08ms
  2026-04-04 16:17:38 /css/app.css ....................................................................... ~ 531.51ms
  2026-04-04 16:17:38 /images/logo-sidebar.png ............................................................. ~ 0.23ms
  2026-04-04 16:17:38 /js/pwa.js .......................................................................... ~ 21.04ms
  2026-04-04 16:17:38 /manifest.json ...................................................................... ~ 50.78ms
  2026-04-04 16:17:40 /internal/smtp-settings ............................................................ ~ 503.22ms
  2026-04-04 16:17:41 /css/app.css ....................................................................... ~ 526.91ms
