
   INFO  Server running on [http://0.0.0.0:8000].  

  Press Ctrl+C to stop the server
  2026-04-02 19:08:42 /internal/staff/a172d424-f8fe-48b9-a138-9cb55099f136 ..................................... ~ 1s
  2026-04-02 19:08:44 /css/app.css ......................................................................... ~ 0.22ms
  2026-04-02 19:08:44 /images/logo-sidebar.png ............................................................. ~ 0.79ms
  2026-04-02 19:08:44 /js/pwa.js .......................................................................... ~ 28.62ms
  2026-04-02 19:08:44 /manifest.json ...................................................................... ~ 74.24ms
  2026-04-02 19:10:45 /internal/smtp-settings ............................................................ ~ 505.81ms
  2026-04-02 19:10:46 /css/app.css ......................................................................... ~ 0.34ms
  2026-04-02 19:10:46 /images/logo-sidebar.png ............................................................. ~ 0.36ms
  2026-04-02 19:10:46 /js/pwa.js .......................................................................... ~ 20.05ms
  2026-04-02 19:10:46 /manifest.json ...................................................................... ~ 48.01ms
  2026-04-02 19:10:48 /internal/staff .................................................................... ~ 507.14ms
  2026-04-02 19:10:48 /css/app.css ......................................................................... ~ 0.31ms
  2026-04-02 19:10:48 /images/logo-sidebar.png ............................................................. ~ 0.31ms
  2026-04-02 19:10:48 /js/pwa.js .......................................................................... ~ 19.71ms
  2026-04-02 19:10:48 /manifest.json ...................................................................... ~ 48.48ms
  2026-04-02 19:10:55 /internal/kyc ...................................................................... ~ 501.95ms
  2026-04-02 19:10:55 /css/app.css ....................................................................... ~ 535.78ms
  2026-04-02 19:10:55 /images/logo-sidebar.png ............................................................. ~ 0.30ms
  2026-04-02 19:10:55 /js/pwa.js .......................................................................... ~ 20.36ms
  2026-04-02 19:10:55 /manifest.json ...................................................................... ~ 49.36ms
  2026-04-02 19:11:09 /internal/kyc ...................................................................... ~ 512.65ms
  2026-04-02 19:11:09 /css/app.css ......................................................................... ~ 0.23ms
  2026-04-02 19:11:09 /images/logo-sidebar.png ............................................................ ~ 28.09ms
  2026-04-02 19:11:09 /js/pwa.js .......................................................................... ~ 46.73ms
  2026-04-02 19:11:09 /manifest.json ...................................................................... ~ 73.64ms
  2026-04-02 19:11:18 /internal/kyc ...................................................................... ~ 511.10ms
  2026-04-02 19:11:19 /css/app.css ......................................................................... ~ 0.37ms
  2026-04-02 19:11:19 /images/logo-sidebar.png ............................................................ ~ 29.20ms
  2026-04-02 19:11:19 /js/pwa.js .......................................................................... ~ 47.95ms
  2026-04-02 19:11:19 /manifest.json ...................................................................... ~ 75.51ms
  2026-04-02 19:11:24 /internal/kyc ...................................................................... ~ 508.95ms
  2026-04-02 19:11:24 /css/app.css ......................................................................... ~ 0.48ms
  2026-04-02 19:11:24 /images/logo-sidebar.png ............................................................ ~ 28.96ms
  2026-04-02 19:11:24 /js/pwa.js .......................................................................... ~ 48.63ms
  2026-04-02 19:11:24 /manifest.json ...................................................................... ~ 77.71ms
  2026-04-02 19:12:30 /internal/accounts ................................................................... ~ 0.50ms
  2026-04-02 19:12:31 /login ............................................................................. ~ 504.72ms
  2026-04-02 19:12:31 /css/app.css ......................................................................... ~ 2.74ms
  2026-04-02 19:12:31 /images/logo-auth.png ............................................................... ~ 35.12ms
  2026-04-02 19:12:31 /js/pwa.js .......................................................................... ~ 22.71ms
  2026-04-02 19:12:31 /manifest.json ...................................................................... ~ 52.16ms
  2026-04-02 19:12:33 /admin/login ....................................................................... ~ 501.29ms
  2026-04-02 19:12:33 /css/app.css ....................................................................... ~ 533.94ms
  2026-04-02 19:12:34 /js/pwa.js ........................................................................... ~ 0.35ms
  2026-04-02 19:12:34 /manifest.json ...................................................................... ~ 37.20ms
  2026-04-02 19:12:36 /admin/login ....................................................................... ~ 514.95ms
  2026-04-02 19:12:37 /admin/login ....................................................................... ~ 504.41ms
  2026-04-02 19:12:37 /css/app.css ......................................................................... ~ 1.42ms
  2026-04-02 19:12:37 /js/pwa.js .......................................................................... ~ 30.10ms
  2026-04-02 19:12:37 /manifest.json ...................................................................... ~ 60.62ms
  2026-04-02 19:15:27 /admin/login ............................................................................. ~ 1s
  2026-04-02 19:15:27 /admin ............................................................................... ~ 0.99ms
  2026-04-02 19:15:28 /css/app.css ......................................................................... ~ 0.22ms
  2026-04-02 19:15:28 /images/logo-sidebar.png ............................................................ ~ 30.39ms
  2026-04-02 19:15:28 /js/pwa.js .......................................................................... ~ 52.75ms
  2026-04-02 19:15:39 /internal/accounts ................................................................. ~ 505.17ms
  2026-04-02 19:15:40 /css/app.css ......................................................................... ~ 0.34ms
  2026-04-02 19:15:40 /images/logo-sidebar.png ............................................................. ~ 0.34ms
  2026-04-02 19:15:40 /js/pwa.js .......................................................................... ~ 21.11ms
  2026-04-02 19:15:40 /manifest.json ...................................................................... ~ 51.21ms
  2026-04-02 19:16:27 /css/app.css ......................................................................... ~ 0.62ms
  2026-04-02 19:16:27 /manifest.json ...................................................................... ~ 35.26ms
  2026-04-02 19:17:25 /internal/shipments ...................................................................... ~ 1s
  2026-04-02 19:17:25 /css/app.css ............................................................................. ~ 1s
  2026-04-02 19:17:26 /images/logo-sidebar.png ............................................................. ~ 1.80ms
  2026-04-02 19:17:26 /js/pwa.js .......................................................................... ~ 23.58ms
  2026-04-02 19:17:26 /manifest.json ...................................................................... ~ 54.68ms
  2026-04-02 19:19:24 /internal/accounts ................................................................. ~ 503.24ms
  2026-04-02 19:19:25 /css/app.css ......................................................................... ~ 0.40ms
  2026-04-02 19:19:25 /images/logo-sidebar.png ............................................................. ~ 0.32ms
  2026-04-02 19:19:25 /js/pwa.js .......................................................................... ~ 20.27ms
  2026-04-02 19:19:25 /manifest.json ...................................................................... ~ 47.60ms
  2026-04-02 19:19:47 /css/app.css ......................................................................... ~ 2.04ms
  2026-04-02 19:19:47 /manifest.json ...................................................................... ~ 30.32ms
  2026-04-02 19:20:56 /logout .............................................................................. ~ 1.73ms
  2026-04-02 19:20:56 /admin/login ....................................................................... ~ 506.82ms
  2026-04-02 19:20:56 /css/app.css ......................................................................... ~ 0.34ms
  2026-04-02 19:20:56 /js/pwa.js ........................................................................... ~ 0.30ms
  2026-04-02 19:20:56 /manifest.json ...................................................................... ~ 32.20ms
  2026-04-02 19:20:58 /login ............................................................................. ~ 510.97ms
  2026-04-02 19:20:58 /css/app.css ....................................................................... ~ 546.40ms
  2026-04-02 19:20:58 /images/logo-auth.png ................................................................ ~ 0.37ms
  2026-04-02 19:20:58 /js/pwa.js .......................................................................... ~ 22.75ms
  2026-04-02 19:20:58 /manifest.json ...................................................................... ~ 50.89ms
  2026-04-02 19:20:59 /b2b/login ......................................................................... ~ 503.24ms
  2026-04-02 19:20:59 /css/app.css ......................................................................... ~ 0.32ms
  2026-04-02 19:20:59 /js/pwa.js .......................................................................... ~ 27.58ms
  2026-04-02 19:20:59 /manifest.json ...................................................................... ~ 55.68ms
  2026-04-02 19:21:13 /b2b/login ......................................................................... ~ 514.92ms
  2026-04-02 19:21:14 /b2b/dashboard ....................................................................... ~ 0.45ms
  2026-04-02 19:21:14 /css/app.css ......................................................................... ~ 0.45ms
  2026-04-02 19:21:14 /js/pwa.js .......................................................................... ~ 28.45ms
  2026-04-02 19:21:14 /images/logo-sidebar.png ............................................................ ~ 56.66ms
  2026-04-02 19:21:14 /manifest.json ...................................................................... ~ 77.59ms
  2026-04-02 19:21:20 /b2b/shipments ........................................................................... ~ 1s
  2026-04-02 19:21:21 /css/app.css ......................................................................... ~ 0.43ms
  2026-04-02 19:21:21 /images/logo-sidebar.png ............................................................ ~ 29.50ms
  2026-04-02 19:21:21 /js/pwa.js .......................................................................... ~ 49.81ms
  2026-04-02 19:21:21 /manifest.json ...................................................................... ~ 81.76ms
  2026-04-02 19:21:33 /b2b/shipments/export .............................................................. ~ 511.76ms
  2026-04-02 19:21:33 /b2b/addresses .......................................................................... ~ 35s
  2026-04-02 19:22:09 /css/app.css ......................................................................... ~ 0.37ms
  2026-04-02 19:22:09 /images/logo-sidebar.png ............................................................. ~ 0.31ms
  2026-04-02 19:22:09 /js/pwa.js .......................................................................... ~ 20.31ms
  2026-04-02 19:22:09 /manifest.json ...................................................................... ~ 47.83ms
  2026-04-02 19:22:13 /b2b/addresses/create .................................................................... ~ 1s
  2026-04-02 19:22:14 /css/app.css ......................................................................... ~ 0.31ms
  2026-04-02 19:22:14 /images/logo-sidebar.png ............................................................. ~ 0.31ms
  2026-04-02 19:22:14 /js/pwa.js .......................................................................... ~ 21.43ms
  2026-04-02 19:22:14 /manifest.json ...................................................................... ~ 49.57ms
  2026-04-02 19:22:36 /b2b/addresses ..................................................................... ~ 516.45ms
  2026-04-02 19:22:37 /css/app.css ......................................................................... ~ 0.29ms
  2026-04-02 19:22:37 /images/logo-sidebar.png ............................................................. ~ 0.34ms
  2026-04-02 19:22:37 /js/pwa.js .......................................................................... ~ 19.80ms
  2026-04-02 19:22:37 /manifest.json ...................................................................... ~ 47.42ms
  2026-04-02 19:22:41 /b2b/shipments ..................................................................... ~ 502.86ms
  2026-04-02 19:22:41 /css/app.css ........................................................................ ~ 26.44ms
  2026-04-02 19:22:41 /images/logo-sidebar.png ............................................................. ~ 0.26ms
  2026-04-02 19:22:41 /js/pwa.js .......................................................................... ~ 19.15ms
  2026-04-02 19:22:41 /manifest.json ...................................................................... ~ 46.90ms
  2026-04-02 19:22:44 /b2b/shipments/create .................................................................... ~ 1s
  2026-04-02 19:22:45 /css/app.css ......................................................................... ~ 0.51ms
  2026-04-02 19:22:45 /images/logo-sidebar.png ............................................................ ~ 30.28ms
  2026-04-02 19:22:45 /js/pwa.js .......................................................................... ~ 49.35ms
  2026-04-02 19:22:45 /manifest.json ...................................................................... ~ 77.02ms
  2026-04-02 19:22:49 /b2b/shipments/create .............................................................. ~ 508.60ms
  2026-04-02 19:22:49 /css/app.css ....................................................................... ~ 530.65ms
  2026-04-02 19:22:50 /images/logo-sidebar.png ............................................................. ~ 0.40ms
  2026-04-02 19:22:50 /js/pwa.js .......................................................................... ~ 20.09ms
  2026-04-02 19:22:50 /manifest.json ...................................................................... ~ 48.26ms
  2026-04-02 19:22:53 /b2b/addresses ..................................................................... ~ 513.09ms
  2026-04-02 19:22:53 /css/app.css ....................................................................... ~ 539.17ms
  2026-04-02 19:22:54 /images/logo-sidebar.png ............................................................. ~ 0.22ms
  2026-04-02 19:22:54 /js/pwa.js .......................................................................... ~ 21.51ms
  2026-04-02 19:22:54 /manifest.json ...................................................................... ~ 52.40ms
  2026-04-02 19:23:02 /b2b/addresses/create .............................................................. ~ 514.29ms
  2026-04-02 19:23:02 /css/app.css ......................................................................... ~ 0.35ms
  2026-04-02 19:23:02 /images/logo-sidebar.png ............................................................. ~ 0.22ms
  2026-04-02 19:23:02 /js/pwa.js .......................................................................... ~ 20.18ms
  2026-04-02 19:23:02 /manifest.json ...................................................................... ~ 52.05ms
  2026-04-02 19:23:04 /b2b/shipments ..................................................................... ~ 516.13ms
  2026-04-02 19:23:05 /css/app.css ....................................................................... ~ 555.46ms
  2026-04-02 19:23:05 /images/logo-sidebar.png ............................................................. ~ 0.36ms
  2026-04-02 19:23:05 /js/pwa.js .......................................................................... ~ 23.46ms
  2026-04-02 19:23:05 /manifest.json ..................................................................... ~ 136.49ms
  2026-04-02 19:23:13 /b2b/shipments/create .............................................................. ~ 503.27ms
  2026-04-02 19:23:14 /css/app.css ....................................................................... ~ 526.69ms
  2026-04-02 19:23:14 /images/logo-sidebar.png ............................................................. ~ 0.30ms
  2026-04-02 19:23:14 /js/pwa.js .......................................................................... ~ 24.02ms
  2026-04-02 19:23:14 /manifest.json ...................................................................... ~ 56.91ms
  2026-04-02 19:23:23 /b2b/reports ............................................................................. ~ 1s
  2026-04-02 19:23:24 /css/app.css ......................................................................... ~ 0.42ms
  2026-04-02 19:23:24 /images/logo-sidebar.png ............................................................. ~ 0.46ms
  2026-04-02 19:23:24 /js/pwa.js .......................................................................... ~ 22.79ms
  2026-04-02 19:23:24 /manifest.json ...................................................................... ~ 55.42ms
  2026-04-02 19:23:27 /b2b/users ......................................................................... ~ 502.26ms
  2026-04-02 19:23:27 /css/app.css ....................................................................... ~ 529.78ms
  2026-04-02 19:23:28 /images/logo-sidebar.png ............................................................. ~ 0.33ms
  2026-04-02 19:23:28 /js/pwa.js .......................................................................... ~ 20.46ms
  2026-04-02 19:23:28 /manifest.json ...................................................................... ~ 49.18ms
  2026-04-02 19:23:37 /b2b/roles ............................................................................... ~ 1s
  2026-04-02 19:23:39 /css/app.css ......................................................................... ~ 0.29ms
  2026-04-02 19:23:39 /images/logo-sidebar.png ............................................................. ~ 0.32ms
  2026-04-02 19:23:39 /js/pwa.js .......................................................................... ~ 20.13ms
  2026-04-02 19:23:39 /manifest.json ...................................................................... ~ 48.29ms
  2026-04-02 19:23:43 /b2b/settings ...................................................................... ~ 507.25ms
  2026-04-02 19:23:44 /b2b/shipments ........................................................................... ~ 5s
  2026-04-02 19:23:49 /css/app.css ......................................................................... ~ 0.37ms
  2026-04-02 19:23:49 /images/logo-sidebar.png ............................................................. ~ 0.43ms
  2026-04-02 19:23:49 /js/pwa.js .......................................................................... ~ 24.54ms
  2026-04-02 19:23:49 /manifest.json ...................................................................... ~ 56.84ms
  2026-04-02 19:24:19 /b2b/shipments/a172d8d6-7992-446f-ab3c-b48255fbb53d ................................ ~ 502.94ms
  2026-04-02 19:24:20 /login ............................................................................... ~ 0.34ms
  2026-04-02 19:24:20 /css/app.css ......................................................................... ~ 0.34ms
  2026-04-02 19:24:20 /images/logo-auth.png ................................................................ ~ 0.39ms
  2026-04-02 19:24:20 /js/pwa.js .......................................................................... ~ 28.60ms
  2026-04-02 19:24:20 /manifest.json ...................................................................... ~ 64.13ms
  2026-04-02 19:26:40 /admin/login ....................................................................... ~ 513.13ms
  2026-04-02 19:26:40 /css/app.css ....................................................................... ~ 545.91ms
  2026-04-02 19:26:41 /js/pwa.js ........................................................................... ~ 1.40ms
  2026-04-02 19:26:41 /manifest.json ...................................................................... ~ 40.55ms
  2026-04-02 19:26:48 /admin/login ....................................................................... ~ 501.48ms
  2026-04-02 19:26:48 /admin ............................................................................. ~ 513.43ms
  2026-04-02 19:26:49 /css/app.css ......................................................................... ~ 0.31ms
  2026-04-02 19:26:49 /images/logo-sidebar.png ............................................................ ~ 30.15ms
  2026-04-02 19:26:49 /js/pwa.js .......................................................................... ~ 49.86ms
  2026-04-02 19:26:55 /admin ............................................................................. ~ 621.41ms
  2026-04-02 19:26:55 /css/app.css ....................................................................... ~ 703.28ms
  2026-04-02 19:26:55 /images/logo-sidebar.png ............................................................ ~ 33.72ms
  2026-04-02 19:26:55 /js/pwa.js .......................................................................... ~ 57.81ms
  2026-04-02 19:26:58 /admin/tenant-context .............................................................. ~ 500.65ms
  2026-04-02 19:26:59 /css/app.css ......................................................................... ~ 0.30ms
  2026-04-02 19:26:59 /images/logo-sidebar.png ............................................................. ~ 0.31ms
  2026-04-02 19:26:59 /js/pwa.js .......................................................................... ~ 23.59ms
  2026-04-02 19:26:59 /manifest.json ...................................................................... ~ 55.95ms
  2026-04-02 19:27:33 /admin/users ....................................................................... ~ 515.03ms
  2026-04-02 19:27:33 /admin/tenant-context .............................................................. ~ 616.30ms
  2026-04-02 19:27:34 /css/app.css ......................................................................... ~ 0.32ms
