
   INFO  Server running on [http://127.0.0.1:8010].  

  Press Ctrl+C to stop the server
  2026-04-04 16:13:19 /admin/login ....................................................................... ~ 503.03ms
  2026-04-04 16:13:19 /login ............................................................................. ~ 529.97ms
  2026-04-04 16:13:19 /css/app.css ....................................................................... ~ 597.71ms
  2026-04-04 16:13:19 /internal .......................................................................... ~ 506.86ms
  2026-04-04 16:13:19 /manifest.json ..................................................................... ~ 595.41ms
  2026-04-04 16:13:19 /css/app.css ....................................................................... ~ 563.21ms
  2026-04-04 16:13:20 /images/logo-sidebar.png ............................................................ ~ 26.19ms
  2026-04-04 16:13:20 /js/pwa.js .......................................................................... ~ 46.24ms
  2026-04-04 16:13:20 /sw.js ............................................................................... ~ 0.49ms
  2026-04-04 16:13:20 / .................................................................................. ~ 508.62ms
  2026-04-04 16:13:20 /offline ........................................................................... ~ 543.88ms
  2026-04-04 16:13:20 /css/app.css ........................................................................ ~ 32.54ms
  2026-04-04 16:13:20 /internal/reports .................................................................. ~ 544.57ms
  2026-04-04 16:13:20 /css/app.css ....................................................................... ~ 567.67ms
  2026-04-04 16:13:20 /images/logo-sidebar.png ........................................................... ~ 595.26ms
  2026-04-04 16:13:21 /js/pwa.js .......................................................................... ~ 46.37ms
  2026-04-04 16:13:21 /sw.js ............................................................................... ~ 0.29ms
  2026-04-04 16:13:21 / .................................................................................... ~ 0.18ms
  2026-04-04 16:13:21 /offline ........................................................................... ~ 547.38ms
  2026-04-04 16:13:21 /css/app.css ....................................................................... ~ 540.65ms
  2026-04-04 16:13:21 ..................................................................................... ~ 27.31ms
  2026-04-04 16:13:21 ..................................................................................... ~ 66.05ms
  2026-04-04 16:13:21 .................................................................................... ~ 101.93ms
  2026-04-04 16:13:22 /b2b/login ........................................................................... ~ 0.28ms
  2026-04-04 16:13:22 /css/app.css ......................................................................... ~ 0.29ms
  2026-04-04 16:13:22 /js/pwa.js .......................................................................... ~ 31.37ms
  2026-04-04 16:13:23 /sw.js ............................................................................... ~ 0.82ms
  2026-04-04 16:13:23 / .................................................................................. ~ 511.11ms
  2026-04-04 16:13:23 /offline ........................................................................... ~ 544.37ms
  2026-04-04 16:13:23 /b2b/login ......................................................................... ~ 503.18ms
  2026-04-04 16:13:23 /login ............................................................................. ~ 531.26ms
  2026-04-04 16:13:23 /css/app.css ....................................................................... ~ 590.96ms
  2026-04-04 16:13:24 /b2b/dashboard ..................................................................... ~ 507.39ms
  2026-04-04 16:13:24 /manifest.json ..................................................................... ~ 590.30ms
  2026-04-04 16:13:24 /css/app.css ....................................................................... ~ 558.58ms
  2026-04-04 16:13:24 /images/logo-sidebar.png ............................................................ ~ 26.59ms
  2026-04-04 16:13:24 /js/pwa.js .......................................................................... ~ 46.01ms
  2026-04-04 16:13:24 /sw.js ............................................................................... ~ 0.19ms
  2026-04-04 16:13:24 / .................................................................................. ~ 513.55ms
